Date,GARCH_VaR_95,GJR_GARCH_VaR_95,GARCH_VaR_99,GJR_GARCH_VaR_99
2024-09-06,6838.7149205934975,7032.584280750413,9672.12501830926,9946.318154070881
2024-09-09,7882.731977984075,8442.099755494868,11148.698265999583,11939.822788386993
2024-09-10,8144.927597673501,8200.060678725842,11519.52653451719,11597.502303177618
2024-09-11,7886.632332594816,7906.509279835357,11154.214611957685,11182.326957760246
2024-09-12,7809.542574027447,7652.554802989202,11045.18509527911,10823.154294835123
2024-09-13,7509.182391884286,7381.510711715268,10620.379957772564,10439.81146409639
2024-09-16,7481.834413837112,7162.179637898676,10581.701190527316,10129.607340809149
2024-09-17,7320.83818178654,6937.195087424993,10354.001147178422,9811.407397598075
2024-09-18,6982.921062979705,6711.660701649665,9876.0785174334,9492.429811827142
2024-09-19,7322.954944525667,7339.388389125344,10356.994925115456,10380.23705941921
2024-09-20,7889.972896264854,7205.55506967926,11158.939234905622,10190.954041728293
2024-09-23,7540.470498540477,7003.125966644895,10664.631324100701,9904.654698265871
2024-09-24,7168.923746547488,6756.557618631892,10139.145662371864,9555.928378302124
2024-09-25,6824.522366947954,6524.722609466414,9652.052218845813,9228.039700633019
2024-09-26,6651.577156206424,6483.755133936286,9407.45250690684,9170.09861819095
2024-09-27,6377.324876495898,6273.84569545214,9019.572274039008,8873.21969355147
2024-09-30,6128.535755968761,6077.636322192295,8667.705073128569,8595.717032602908
2024-10-01,5864.25747753528,5888.007033631958,8293.931260604983,8327.520711015424
2024-10-02,5895.929243802711,6037.522881824083,8338.725244042838,8538.983828388255
2024-10-03,6048.691414240303,6323.213548950672,8554.77969691838,8943.041590862249
2024-10-04,6256.858889586371,6664.361771506025,8849.19492984905,9425.534032299334
2024-10-07,5983.224647313521,6438.358453727776,8462.188799123596,9105.893227047842
2024-10-08,7242.493265583751,7998.633827349791,10243.196437103363,11312.620463361945
2024-10-09,7355.210835699477,7753.8706478434115,10402.615047555506,10966.447227665914
2024-10-10,7032.265024515311,7468.425883226651,9945.866623885071,10562.73724980423
2024-10-11,6895.096961533417,7414.831643801609,9751.867214773125,10486.937894223664
2024-10-14,6601.0239200183805,7148.250410488489,9335.95410023712,10109.906968665531
2024-10-15,6604.439885920066,6933.61996792802,9340.78536600021,9806.351037867975
2024-10-16,6323.8584120647,6709.615015016662,8943.953633070618,9489.536558183376
2024-10-17,6194.109592247629,6501.583033906752,8760.447401151261,9195.312957336599
2024-10-18,6618.142126375996,7104.702486253298,9360.16470616273,10048.316308376088
2024-10-21,6342.9407934702995,6856.1500999980035,8970.94220924978,9696.783925264019
2024-10-22,6796.331838994068,7466.069384227897,9612.181817188763,10559.404408300217
2024-10-23,6519.182875233953,7228.744533638851,9220.204748790939,10223.751343140773
2024-10-24,7043.7463760339115,7896.732508008038,9962.104918441357,11168.499482790561
2024-10-25,6815.702595809031,7611.966748274625,9639.578248212578,10765.749834493135
2024-10-28,6545.457882392386,7374.411563121621,9257.365992832278,10429.771002764313
2024-10-29,6249.45439677479,7105.641330028953,8838.72261436254,10049.644133044354
2024-10-30,6010.028042832689,6857.75038694128,8500.097352906985,9699.047241626853
2024-10-31,5779.4599214368,6639.743161725358,8174.000458786969,9390.715462679103
2024-11-01,7338.8907913897165,8424.744527112196,10379.533297445843,11915.276957688153
2024-11-04,7066.9526938822755,8179.632246349544,9994.926056630362,11568.609981423331
2024-11-05,6908.8803793208235,7887.073190861534,9771.361365584695,11154.838126217393
2024-11-06,7617.64234449991,7721.031052759454,10773.77693854438,10920.001561646672
2024-11-07,7694.427153872817,7496.094364586415,10882.375159757754,10601.869311000779
2024-11-08,7545.687052263537,7254.885183114052,10672.009195580944,10260.722562546716
2024-11-11,8011.083567904182,7118.093065573924,11330.228369011733,10067.254860247387
2024-11-12,7760.179035427189,7069.538556806496,10975.369300611303,9998.58329191121
2024-11-13,8365.17506489479,8154.561526896908,11831.026730484618,11533.151984466233
2024-11-14,8204.49980774891,8177.223477765929,11603.780648068734,11565.203214047964
2024-11-15,7935.943678677542,8041.56217664081,11223.956589751937,11373.334846984235
2024-11-18,8729.135920018329,9207.6024741074,12345.783513506087,13022.487891735602
2024-11-19,8355.351565539278,8847.029795882614,11817.133167880094,12512.523071960068
2024-11-20,8217.23453053889,8534.000032336497,11621.79160953275,12069.799103696292
2024-11-21,7813.576555533863,8214.60975243716,11050.890432305825,11618.079335773715
2024-11-22,7435.643127243988,7899.793734727557,10516.371972410634,11172.82903415867
2024-11-25,7071.946405422763,7600.476073539756,10001.9887581592,10749.498353934163
2024-11-26,8336.719750030086,7540.978962737384,11790.781835646561,10665.350454717625
2024-11-27,7908.956039258608,7262.995681488106,11185.787456305105,10272.19339517324
2024-11-28,7529.896288305198,7004.445229826415,10649.676016772779,9906.520557359556
2024-11-29,7175.541972335343,6760.759362490448,10148.505945402054,9561.87098482495
2024-12-02,7491.643675301805,6629.046793479643,10595.574616211152,9375.587384945833
2024-12-03,7137.348990618529,6407.787318979998,10094.488882507001,9062.655887772054
2024-12-04,7063.399961410994,6553.843384994927,9989.901359297919,9269.225769187175
2024-12-05,7464.578952226064,6448.390691657649,10557.296461877475,9120.082012601535
2024-12-06,7104.9841208666985,6241.0157474511025,10048.714629584374,8826.787671585702
2024-12-09,6877.020701374785,6059.922421736919,9726.301615073788,8570.663925146953
2024-12-10,7327.520545218929,6934.314374166657,10363.452141303243,9807.33314986293
2024-12-11,7228.896114578741,7017.912428077675,10223.965726956745,9925.567472846604
2024-12-12,6880.568843911199,6770.484770150297,9731.319820773757,9575.625814472376
2024-12-13,7582.246126468585,7826.130192688781,10723.71539190155,11068.645280900437
2024-12-16,7549.017314890711,7935.156262715846,10676.719249567377,11222.842932330715
2024-12-17,7386.591997665678,7662.870272544032,10446.998023784403,10837.743660281025
2024-12-18,7078.913021369768,7432.391757608661,10011.841776039953,10511.773498288117
2024-12-19,12382.342081986564,13891.39526031628,17512.582704069224,19646.865412086427
2024-12-20,12408.626439565433,14099.908863623017,17549.75717258862,19941.770180397176
2024-12-23,12374.488382639911,13554.11602533478,17501.475067207757,19169.844953608583
2024-12-24,11684.446557436411,12955.663831015278,16525.535745459958,18323.442594664022
2024-12-25,11459.174148037619,12440.335707044922,16206.928677877766,17594.604194706342
2024-12-26,10817.836800885923,11898.467716852265,15299.873028886968,16828.229955478877
2024-12-27,10221.822204323318,11386.535310504469,14456.918210967702,16104.194183756714
2024-12-30,10494.688334349303,11844.832667466755,14842.8379858842,16752.372881592426
2024-12-31,10099.411111695834,11529.344797218087,14283.789866641555,16306.172366110133
2025-01-02,9817.70587877168,11324.144575698649,13885.368779815803,16015.953776891838
2025-01-03,9338.096497107717,10890.304749854577,13207.048078738051,15402.365832050116
2025-01-06,9004.866762576285,10448.171388899358,12735.754906025088,14777.048182231634
2025-01-07,8583.305459481157,10016.09090836733,12139.532710223482,14165.948513039073
2025-01-08,9157.51910164426,10715.395453440533,12951.654022298622,15154.988276263024
2025-01-09,8670.00425948833,10261.753769544299,12262.15247758381,14513.394185690824
2025-01-10,8234.79718698161,9846.952014311675,11646.630809695353,13926.7321474265
2025-01-13,9570.710768324534,11344.527790833981,13536.038881597357,16044.782147039328
2025-01-14,9064.214951268643,10864.912692068283,12819.692181859487,15366.453360155494
2025-01-15,8583.509361973862,10403.549207006581,12139.821093410073,14713.93817883655
2025-01-16,11267.488084435336,10370.741047155527,15935.823420098146,14667.536972267093
2025-01-17,10641.397462408155,9940.088012107983,15050.331505410706,14058.45616646379
2025-01-20,10430.724483051248,9584.829785253114,14752.372690343906,13556.00767667867
